,Title,Worldwide_Lifetime_Gross,Domestic_Lifetime_Gross,Domestic_Percentage,Foreign_Lifetime_Gross,Foreign_Lifetime_Percentage,Year,IMDB_ID,Belongs_To_Collection,Budget,Genres,Original_Language,Popularity,Release_date,Runtime,Production_Company
342,The Golden Compass,372234864,70107728,18.8%,302127136,81.2%,2007,tt0385752,No Collection,180000000,'Adventure',en,15.314,2007-12-04,113.0,Depth of
343,Fifty Shades Freed,371985018,100407760,27%,271577258,73%,2018,tt4477536,344830,55000000,'Drama',en,25.186999999999998,2018-01-17,105.0,Universal Pictures
344,Hitch,371594210,179495555,48.3%,192098655,51.7%,2005,tt0386588,No Collection,70000000,'Comedy',en,21.944000000000003,2005-02-11,118.0,Columbia Pictures
345,Terminator Salvation,371353001,125322469,33.8%,246030532,66.2%,2009,tt0438488,528,200000000,'Action',en,24.691999999999997,2009-05-20,115.0,Columbia Pictures
346,Captain America: The First Avenger,370569774,176654505,47.7%,193915269,52.3%,2011,tt0458339,131295,140000000,'Action',en,19.776,2011-07-22,124.0,Marvel Studios
347,Edge of Tomorrow,370541256,100206256,27%,270335000,73%,2014,tt1631867,578704,178000000,'Action',en,32.537,2014-05-27,113.0,RatPac-Dune Entertainment
348,There's Something About Mary,369884651,176484651,47.7%,193400000,52.3%,1998,tt0129387,No Collection,23000000,'Romance',en,16.467,1998-07-15,119.0,20th Century
349,Gone Girl,369330363,167767189,45.4%,201563174,54.6%,2014,tt2267998,No Collection,61000000,'Mystery',en,44.313,2014-10-01,149.0,Regency Enterprises
350,The Fugitive,368875760,183875760,49.8%,185000000,50.2%,1993,tt0106977,No Collection,44000000,'Adventure',en,13.337,1993-08-06,131.0,Warner Bros.
351,Jurassic Park III,368780809,181171875,49.1%,187608934,50.9%,2001,tt0163025,328,93000000,'Adventure',en,0.871,2001-07-18,92.0,Amblin Entertainment
352,My Big Fat Greek Wedding,368744044,241438208,65.5%,127305836,34.5%,2002,tt0259446,389767,5000000,'Comedy',en,11.481,2002-02-22,95.0,Ontario Film
353,1917,368027644,159227644,43.3%,208800000,56.7%,2019,tt8579674,No Collection,100000000,'War',en,106.055,2019-12-25,119.0,Cinergi Pictures
354,Die Hard with a Vengeance,366236538,100012499,27.3%,266224039,72.7%,1995,tt0112864,1570,90000000,'Action',en,28.088,1995-05-19,128.0,DC Entertainment
355,Shazam!,365971656,140371656,38.4%,225600000,61.6%,2019,tt0448115,No Collection,80000000,'Action',en,34.084,2019-03-29,132.0,New Line
356,The Nun,365550119,117450119,32.1%,248100000,67.9%,2018,tt5814060,No Collection,22000000,'Horror',en,27.366999999999997,2018-09-05,96.0,Fox 2000
357,Alvin and the Chipmunks,365352546,217326974,59.5%,148025572,40.5%,2007,tt0952640,167613,60000000,'Comedy',en,15.839,2007-12-13,92.0,Hughes Entertainment
358,Home Alone 2: Lost in New York,365154932,173585516,47.5%,191569416,52.5%,1992,tt0104431,9888,18000000,'Comedy',en,16.828,1992-11-19,120.0,Notting Hill
359,Notting Hill,363944522,116089678,31.9%,247854844,68.1%,1999,tt0125439,No Collection,42000000,'Romance',en,14.147,1999-05-13,124.0,Pixar
360,A Bug's Life,363258859,162798565,44.8%,200460294,55.2%,1998,tt0120623,No Collection,120000000,'Adventure',en,22.851,1998-11-25,95.0,Moving Picture
361,Night at the Museum: Secret of the Tomb,363204635,113746621,31.3%,249458014,68.7%,2014,tt2692250,85943,127000000,'Adventure',en,26.576999999999998,2014-12-17,97.0,Village Roadshow
362,Ocean's Twelve,362744280,125544280,34.6%,237200000,65.4%,2004,tt0349903,304,110000000,'Thriller',en,23.944000000000003,2004-12-09,125.0,Neal Street
363,Planet of the Apes,362211740,180011740,49.7%,182200000,50.3%,2001,tt0133152,No Collection,100000000,'Thriller',en,17.809,2001-07-25,119.0,Tim Burton
364,The Hangover Part III,362000072,112200072,31%,249800000,69%,2013,tt1951261,86119,103000000,'Comedy',en,14.844000000000001,2013-05-23,100.0,Green Hat
365,The World Is Not Enough,361832400,126943684,35.1%,234888716,64.9%,1999,tt0143145,645,135000000,'Adventure',en,24.366,1999-11-17,128.0,Eon Productions
366,Monster Hunt 2,361682618,706153,0.2%,360976465,99.8%,2018,tt6170484,519163,0,'Adventure',zh,8.827,2018-02-16,110.0,Edko Films
367,Fast & Furious,360364265,155064265,43%,205300000,57%,2009,tt1013752,9485,85000000,'Action',en,2.366,2009-04-02,107.0,Dentsu
368,Noah,359200044,101200044,28.2%,258000000,71.8%,2014,tt1959490,No Collection,125000000,'Drama',en,21.026999999999997,2014-03-07,138.0,Disruption Entertainment
369,The Karate Kid,359126022,176591618,49.2%,182534404,50.8%,2010,tt1155076,No Collection,40000000,'Action',en,18.287,2010-06-10,140.0,Jerry Weintraub
370,Your Name.,358922706,5017246,1.4%,353905460,98.6%,2016,tt5311514,No Collection,0,'Romance',ja,38.408,2016-08-26,106.0,CoMix Wave
371,Hotel Transylvania,358375603,148313048,41.4%,210062555,58.6%,2011,tt0837562,185103,85000000,'Animation',en,18.36,2012-09-20,91.0,Columbia Pictures
372,Minority Report,358372926,132072926,36.8%,226300000,63.2%,2002,tt0181689,No Collection,102000000,'Action',en,25.701999999999998,2002-06-20,145.0,Digital Image
373,Top Gun,356830601,179800601,50.4%,177030000,49.6%,1986,tt0092099,531330,15000000,'Action',en,37.538000000000004,1986-05-16,110.0,Paramount
374,The Legend of Tarzan,356700357,126643061,35.5%,230057296,64.5%,2016,tt0918940,No Collection,180000000,'Action',en,22.531,2016-06-06,109.0,Village Roadshow
375,American Beauty,356296601,130096601,36.5%,226200000,63.5%,1999,tt0169547,No Collection,15000000,'Drama',en,29.43,1999-09-15,122.0,Jinks/Cohen Company
376,Apollo 13,355237933,173837933,48.9%,181400000,51.1%,1995,tt0112384,No Collection,52000000,'Drama',en,23.651999999999997,1995-06-30,140.0,Imagine Entertainment
377,Rain Man,354825435,172825435,48.7%,182000000,51.3%,1988,tt0095953,No Collection,25000000,'Drama',en,15.64,1988-12-11,134.0,United Artists
378,The Great Gatsby,353641895,144840419,41%,208801476,59%,2013,tt1343092,No Collection,105000000,'Drama',en,23.855,2013-05-10,143.0,Spectrum Films
379,Dumbo,353284621,114766307,32.5%,238518314,67.5%,2019,tt3861390,No Collection,170000000,'Adventure',en,19.113,2019-03-27,112.0,Tim Burton
380,"I, Robot",353133898,144801023,41%,208332875,59%,2004,tt0343818,No Collection,120000000,'Action',en,31.73,2004-07-15,115.0,Mediastream Vierte
381,Basic Instinct,352927224,117727224,33.4%,235200000,66.6%,1992,tt0103772,86336,49000000,'Thriller',en,19.083,1992-03-20,127.0,Carolco Pictures
382,Murder on the Orient Express,352789811,102826543,29.2%,249963268,70.8%,2017,tt3402236,No Collection,55000000,'Crime',en,25.848000000000003,2017-11-03,114.0,The Mark
383,X-Men: First Class,352616690,146408305,41.5%,206208385,58.5%,2011,tt1270798,748,160000000,'Action',en,1.18,2011-06-01,132.0,Ingenious Media
384,The Angry Birds Movie,352333929,107509366,30.5%,244824563,69.5%,2016,tt1985949,531315,73000000,'Animation',en,17.165,2016-05-11,97.0,Columbia Pictures
385,GoldenEye,352194034,106429941,30.2%,245764093,69.8%,1995,tt0113189,645,58000000,'Adventure',en,30.3,1995-11-16,130.0,Eon Productions
386,Catch Me If You Can,352114312,164615351,46.8%,187498961,53.2%,2002,tt0264464,No Collection,52000000,'Drama',en,25.455,2002-12-25,141.0,Parkes/MacDonald Productions
387,Now You See Me,351723989,117723989,33.5%,234000000,66.5%,2013,tt1670345,382685,75000000,'Thriller',en,18.798,2013-05-29,116.0,Summit Entertainment
388,Hannibal,351692268,165092268,46.9%,186600000,53.1%,2001,tt0212985,9743,87000000,'Crime',en,4.399,2001-02-08,131.0,Dino De
389,The Mask,351583407,119938730,34.1%,231644677,65.9%,1994,tt0110475,43072,23000000,'Romance',en,37.37,1994-07-29,101.0,Dark Horse
390,Peter Rabbit,351266433,115253424,32.8%,236013009,67.2%,2018,tt5117670,595693,50000000,'Animation',en,14.786,2018-02-07,93.0,Columbia Pictures
391,Speed,350448145,121248145,34.6%,229200000,65.4%,1994,tt0111257,43064,30000000,'Action',en,21.008000000000003,1994-06-09,116.0,20th Century
392,Dinosaur,349822765,137748063,39.4%,212074702,60.6%,2000,tt0130623,No Collection,127500000,'Animation',en,17.683,2000-05-19,82.0,Walt Disney
393,Mary Poppins Returns,349537494,171958438,49.2%,177579056,50.8%,2018,tt5028340,527439,130000000,'Fantasy',en,16.075,2018-12-13,131.0,Walt Disney
394,Deep Impact,349464664,140464664,40.2%,209000000,59.8%,1998,tt0120647,No Collection,75000000,'Action',en,18.037,1998-05-08,120.0,Paramount
395,The Lorax,348840316,214030500,61.4%,134809816,38.6%,2012,tt1482459,No Collection,70000000,'Animation',en,19.979,2012-03-01,86.0,Universal Pictures
396,The Maze Runner,348319861,102427862,29.4%,245891999,70.6%,2014,tt1790864,295130,34000000,'Action',en,42.945,2014-09-10,113.0,Ingenious Media
397,Spirited Away,347742810,13750644,4%,333992166,96%,2001,tt0245429,No Collection,19000000,'Animation',ja,44.941,2001-07-20,125.0,Studio Ghibli
398,The Smurfs 2,347545360,71017784,20.4%,276527576,79.6%,2013,tt2017020,134897,105000000,'Fantasy',en,14.91,2013-07-30,105.0,NeoReel
399,National Treasure,347512318,173008894,49.8%,174503424,50.2%,2004,tt0368891,52984,100000000,'Adventure',en,17.558,2004-11-19,131.0,Walt Disney
400,Rush Hour 2,347325802,226164286,65.1%,121161516,34.9%,2001,tt0266915,90863,90000000,'Action',en,17.361,2001-08-03,90.0,New Line
401,Trolls,346864462,153707064,44.3%,193157398,55.7%,2016,tt1679335,489724,125000000,'Adventure',en,23.653000000000002,2016-10-13,92.0,DreamWorks Animation
402,xXx: Return of Xander Cage,346118277,44898413,13%,301219864,87%,2017,tt1293847,52785,85000000,'Action',en,21.559,2017-01-13,107.0,Rox Productions
403,Pocahontas,346079773,141579773,40.9%,204500000,59.1%,1995,tt0114148,136214,55000000,'Adventure',en,21.369,1995-06-14,81.0,Walt Disney
404,How the Grinch Stole Christmas,345141403,260044825,75.3%,85096578,24.7%,2000,tt0170016,No Collection,123000000,'Family',en,15.534,2000-11-17,104.0,Universal Pictures
405,Star Trek Beyond,343471816,158848340,46.2%,184623476,53.8%,2016,tt2660888,115575,185000000,'Action',en,28.608,2016-07-07,122.0,Skydance Media
406,Alvin and the Chipmunks: Chipwrecked,342695435,133110742,38.8%,209584693,61.2%,2011,tt1615918,167613,75000000,'Comedy',en,18.33,2011-12-14,87.0,Fox 2000
407,Wanted,342463063,134508551,39.3%,207954512,60.7%,2008,tt0493464,No Collection,75000000,'Action',en,19.469,2008-06-19,110.0,Kickstart
408,The Flintstones,341631208,130531208,38.2%,211100000,61.8%,1994,tt0109813,351684,46000000,'Fantasy',en,13.427,1994-05-26,91.0,Hanna-Barbera Productions
409,A Quiet Place,340939361,188024361,55.2%,152915000,44.8%,2018,tt6644200,521226,17000000,'Horror',en,30.154,2018-04-03,91.0,Sunday Night
410,Enchanted,340487652,127807262,37.5%,212680390,62.5%,2007,tt0461770,531799,85000000,'Comedy',en,16.8,2007-11-20,107.0,Walt Disney
411,Over the Hedge,339795890,155019340,45.6%,184776550,54.4%,2006,tt0327084,No Collection,80000000,'Comedy',en,16.055999999999997,2006-05-17,83.0,DreamWorks Animation
412,300: Rise of an Empire,337580051,106580051,31.6%,231000000,68.4%,2014,tt1253863,125570,110000000,'Action',en,19.41,2014-03-05,102.0,Legendary Entertainment
413,Batman Forever,336567531,184069126,54.7%,152498405,45.3%,1995,tt0112462,120794,100000000,'Action',en,17.887,1995-06-16,121.0,DC Comics
414,Prince of Persia: The Sands of Time,336365676,90759676,27%,245606000,73%,2009,tt0473075,No Collection,150000000,'Adventure',en,17.616,2010-05-19,116.0,Walt Disney
415,Back to the Future Part II,335949377,119000002,35.4%,216949375,64.6%,1989,tt0096874,264,40000000,'Adventure',en,20.053,1989-11-22,108.0,U-Drive Productions
416,The Curious Case of Benjamin Button,335802786,127509326,38%,208293460,62%,2008,tt0421715,No Collection,150000000,'Fantasy',en,21.394000000000002,2008-12-25,166.0,Paramount
417,Journey 2: The Mysterious Island,335260290,103860290,31%,231400000,69%,2012,tt1397514,605516,79000000,'Adventure',en,16.48,2012-01-19,94.0,Walden Media
418,The Rock,335062621,134069511,40%,200993110,60%,1996,tt0117500,No Collection,75000000,'Action',en,16.315,1996-06-06,137.0,Don Simpson/Jerry
419,The Great Wall,334933831,45540830,13.6%,289393001,86.4%,2016,tt2034800,No Collection,150000000,'Action',en,15.435,2016-12-16,103.0,Legendary Entertainment
420,Now You See Me 2,334897606,65075540,19.4%,269822066,80.6%,2016,tt3110958,382685,90000000,'Action',en,20.951999999999998,2016-06-02,129.0,Summit Entertainment
421,Fantastic Four,333535934,154696080,46.4%,178839854,53.6%,2005,tt0120667,9744,100000000,'Action',en,25.33,2005-06-29,106.0,Kumar Mobiliengesellschaft
422,Indiana Jones and the Temple of Doom,333107271,179870271,54%,153237000,46%,1984,tt0087469,84,28000000,'Adventure',en,22.226,1984-05-23,118.0,Lucasfilm
423,Tomorrow Never Dies,333011068,125304276,37.6%,207706792,62.4%,1997,tt0120347,645,110000000,'Adventure',en,19.859,1997-12-11,119.0,Eon Productions
424,The Good Dinosaur,332207671,123087120,37%,209120551,63%,2015,tt1979388,No Collection,175000000,'Adventure',en,17.15,2015-11-14,93.0,Pixar
425,22 Jump Street,331333876,191719337,57.9%,139614539,42.1%,2014,tt2294449,212562,50000000,'Crime',en,15.39,2014-06-05,112.0,Columbia Pictures
426,Meet the Parents,330444045,166244045,50.3%,164200000,49.7%,2000,tt0212338,51509,55000000,'Comedy',en,17.391,2000-10-06,108.0,Tribeca Productions
427,Who Framed Roger Rabbit,329803958,156452370,47.4%,173351588,52.6%,1988,tt0096438,No Collection,70000000,'Fantasy',en,25.435,1988-06-21,104.0,Amblin Entertainment
428,Black Swan,329398046,106954678,32.5%,222443368,67.5%,2010,tt0947798,No Collection,13000000,'Drama',en,22.811999999999998,2010-12-03,108.0,Participant Media
429,The Perfect Storm,328718434,182618434,55.6%,146100000,44.4%,2000,tt0177971,No Collection,120000000,'Drama',en,11.360999999999999,2000-06-26,130.0,Dune Entertainment
430,Crocodile Dundee,328203506,174803506,53.3%,153400000,46.7%,1986,tt0090555,9332,5000000,'Adventure',en,11.308,1986-09-26,97.0,Baltimore Spring
431,Green Book,327909440,85080171,26%,242829269,74%,2018,tt6966692,No Collection,23000000,'Drama',en,26.678,2018-11-16,130.0,Paramount
432,The Devil Wears Prada,327893740,124740460,38%,203153280,62%,2006,tt0458352,No Collection,35000000,'Comedy',en,27.934,2006-06-30,109.0,Fox 2000
433,Se7en,327333559,100125643,30.6%,227207916,69.4%,1995,tt0114369,No Collection,33000000,'Crime',en,34.325,1995-09-22,127.0,Juno Pix
434,John Wick: Chapter 3 - Parabellum,326709727,171015687,52.3%,155694040,47.7%,2019,tt6146586,404609,55000000,'Action',en,40.004,2019-05-15,131.0,Summit Entertainment
435,Taken 3,326479141,89256424,27.3%,237222717,72.7%,2015,tt2446042,135483,48000000,'Thriller',en,35.580999999999996,2014-12-16,109.0,EuropaCorp
436,The Hunchback of Notre Dame,325338851,100138851,30.8%,225200000,69.2%,1996,tt0116583,97456,100000000,'Drama',en,20.928,1996-06-21,91.0,Walt Disney
437,A Christmas Carol,325286646,137855863,42.4%,187430783,57.6%,2009,tt1067106,No Collection,200000000,'Animation',en,16.873,2009-11-04,96.0,Walt Disney
438,The SpongeBob Movie: Sponge Out of Water,325186032,162994032,50.1%,162192000,49.9%,2015,tt2279373,275402,74000000,'Adventure',en,17.734,2015-01-28,93.0,Paramount Animation
439,Schindler's List,322287794,96898818,30.1%,225388976,69.9%,1993,tt0108052,No Collection,22000000,'Drama',en,34.02,1993-11-30,195.0,Universal Pictures
440,Megamind,321885765,148415853,46.1%,173469912,53.9%,2010,tt1001526,No Collection,130000000,'Animation',en,23.744,2010-10-28,96.0,DreamWorks Animation
441,Lethal Weapon 3,321731527,144731527,45%,177000000,55%,1992,tt0104714,945,35000000,'Adventure',en,13.68,1992-05-15,118.0,St. Petersburg
442,The Ugly Truth,321682600,88915214,27.6%,232767386,72.4%,2009,tt1142988,No Collection,38000000,'Comedy',en,16.487000000000002,2009-07-24,96.0,Lakeshore Entertainment
443,Robin Hood,321669741,105269730,32.7%,216400011,67.3%,2010,tt0955308,No Collection,200000000,'Action',en,21.276999999999997,2010-05-12,140.0,Scott Free
444,Inglourious Basterds,321455689,120540719,37.5%,200914970,62.5%,2009,tt0361748,No Collection,70000000,'Drama',en,34.355,2009-08-18,153.0,The Weinstein
445,101 Dalmatians,320689294,136189294,42.5%,184500000,57.5%,1996,tt0115433,124916,54000000,'Comedy',en,14.672,1996-11-17,103.0,Great Oaks
446,The Conjuring 2,320392818,102470008,32%,217922810,68%,2016,tt3065204,313086,40000000,'Horror',en,21.897,2016-05-13,134.0,New Line
447,Fatal Attraction,320145693,156645693,48.9%,163500000,51.1%,1987,tt0093010,No Collection,14000000,'Drama',en,22.046,1987-01-15,119.0,Paramount
448,The Last Airbender,319713881,131772187,41.2%,187941694,58.8%,2010,tt0938283,No Collection,150000000,'Action',en,17.045,2010-06-30,103.0,Paramount
449,The Conjuring,319494638,137400141,43%,182094497,57%,2013,tt1457767,313086,13000000,'Horror',en,26.206,2013-03-20,112.0,Evergreen Media
450,The Proposal,317375031,163958031,51.7%,153417000,48.3%,2009,tt1041829,No Collection,40000000,'Comedy',en,24.881999999999998,2009-06-01,108.0,Kurtzman/Orci
451,A Beautiful Mind,316791257,170742341,53.9%,146048916,46.1%,2001,tt0268978,No Collection,60000000,'Drama',en,23.853,2001-12-11,135.0,Universal Pictures
452,Beverly Hills Cop,316360478,234760478,74.2%,81600000,25.8%,1984,tt0086960,85861,14000000,'Action',en,14.815999999999999,1984-01-25,105.0,Paramount
453,Air Force One,315156409,172956409,54.9%,142200000,45.1%,1997,tt0118571,No Collection,85000000,'Action',en,14.245999999999999,1997-07-25,124.0,Radiant Productions
454,The Expendables 2,314975955,85028192,27%,229947763,73%,2012,tt1764651,126125,100000000,'Action',en,20.364,2012-08-08,103.0,Nu Image
455,Chicken Little,314432837,135386665,43.1%,179046172,56.9%,2005,tt0371606,No Collection,150000000,'Animation',en,21.572,2005-11-04,81.0,Walt Disney
456,As Good as It Gets,314178011,148478011,47.3%,165700000,52.7%,1997,tt0119822,No Collection,50000000,'Comedy',en,15.934000000000001,1997-12-19,139.0,Gracie Films
457,The Polar Express,313500433,187224490,59.7%,126275943,40.3%,2004,tt0338348,No Collection,165000000,'Adventure',en,13.924000000000001,2004-11-10,100.0,Golden Mean
458,Maze Runner: The Scorch Trials,312296056,81697192,26.2%,230598864,73.8%,2015,tt4046784,295130,61000000,'Action',en,22.144000000000002,2015-09-09,132.0,Temple Hill
459,Resident Evil: The Final Chapter,312242626,26830068,8.6%,285412558,91.4%,2016,tt2592614,17255,40000000,'Action',en,0.8640000000000001,2016-12-23,107.0,Screen Gems
460,Austin Powers: The Spy Who Shagged Me,312016928,206040086,66%,105976842,34%,1999,tt0145660,1006,33000000,'Adventure',en,18.409000000000002,1999-06-08,95.0,New Line
461,The Lego Batman Movie,311950384,175750384,56.3%,136200000,43.7%,2017,tt4116284,696630,80000000,'Action',en,18.340999999999998,2017-02-08,104.0,Lin Pictures
462,Ocean's Thirteen,311312624,117154724,37.6%,194157900,62.4%,2007,tt0496806,304,85000000,'Crime',en,17.814,2007-06-06,122.0,Section Eight
463,Little Fockers,310650585,148438600,47.8%,162211985,52.2%,2010,tt0970866,51509,100000000,'Comedy',en,13.485,2010-12-21,98.0,Universal Pictures
464,Bolt,309979994,114053579,36.8%,195926415,63.2%,2008,tt0397892,No Collection,150000000,'Animation',en,19.914,2008-11-21,98.0,Walt Disney
465,Ransom,309492681,136492681,44.1%,173000000,55.9%,1996,tt0117438,No Collection,80000000,'Action',en,13.868,1996-11-08,121.0,Touchstone Pictures
466,Runaway Bride,309460292,152257509,49.2%,157202783,50.8%,1999,tt0163187,No Collection,70000000,'Comedy',en,12.38,1999-07-30,116.0,Lakeshore Entertainment
467,Knives Out,309232797,165363234,53.5%,143869563,46.5%,2019,tt8946378,No Collection,40000000,'Mystery',en,58.43600000000001,2019-11-27,131.0,Alcon Entertainment
468,The Blind Side,309208309,255959475,82.8%,53248834,17.2%,2009,tt0878804,No Collection,29000000,'Drama',en,19.765,2009-11-20,129.0,Lionsgate
469,The Ex-File 3: The Return of The Exes,307592427,838959,0.3%,306753468,99.7%,2017,tt7830888,No Collection,0,'Romance',zh,2.819,2017-12-29,120.0,Huayi Brothers
470,The Fault in Our Stars,307166834,124872350,40.6%,182294484,59.4%,2014,tt2582846,No Collection,12000000,'Romance',en,18.417,2014-05-16,125.0,TSG Entertainment
471,The Pursuit of Happyness,307127625,163566459,53.3%,143561166,46.7%,2006,tt0454921,No Collection,55000000,'Drama',en,19.855999999999998,2006-12-14,117.0,Escape Artists
472,Rise of the Guardians,306941670,103412758,33.7%,203528912,66.3%,2012,tt1446192,No Collection,145000000,'Animation',en,18.026,2012-11-21,97.0,DreamWorks Animation
473,Close Encounters of the Third Kind,306898466,135189114,44%,171709352,56%,1977,tt0075860,No Collection,20000000,'Science,en,26.264,1977-11-18,135.0,Julia Phillips
474,Chicago,306776732,170687518,55.6%,136089214,44.4%,2002,tt0299658,No Collection,45000000,'Comedy',en,19.859,2002-12-26,113.0,Miramax
475,Sonic the Hedgehog,306766470,146066470,47.6%,160700000,52.4%,2020,tt3794354,No Collection,85000000,'Action',en,99.384,2020-02-12,99.0,Atomic Monster
476,Annabelle: Creation,306515884,102092201,33.3%,204423683,66.7%,2017,tt5140878,402074,15000000,'Horror',en,21.623,2017-08-03,109.0,Lionsgate
477,Wonder,305937718,132422809,43.3%,173514909,56.7%,2017,tt2543472,No Collection,20000000,'Drama',en,27.838,2017-11-13,113.0,Flynn Picture
478,Skyscraper,304868961,68420120,22.4%,236448841,77.6%,2018,tt5758778,No Collection,125000000,'Action',en,22.378,2018-07-11,102.0,Mid Atlantic
479,A Good Day to Die Hard,304654182,67349198,22.1%,237304984,77.9%,2013,tt1606378,1570,92000000,'Action',en,21.64,2013-02-06,98.0,Walt Disney
480,Mulan,304320254,120620254,39.6%,183700000,60.4%,1998,tt0120762,87236,90000000,'Animation',en,28.775,1998-06-18,88.0,Aamir Khan
481,Dangal,303723636,12391761,4.1%,291331875,95.9%,2016,tt5074352,No Collection,10400000,'Drama',hi,11.058,2016-12-21,161.0,Wanda Pictures
482,Passengers,303144152,100014699,33%,203129453,67%,2016,tt1355644,No Collection,110000000,'Drama',en,15.845999999999998,2016-12-21,116.0,Universal Pictures
483,Battleship,303025485,65422625,21.6%,237602860,78.4%,2012,tt1440129,No Collection,209000000,'Thriller',en,32.994,2012-04-11,131.0,Universal Pictures
484,Liar Liar,302710615,181410615,59.9%,121300000,40.1%,1997,tt0119528,No Collection,45000000,'Comedy',en,19.488,1997-03-21,86.0,Paramount
485,G.I. Joe: The Rise of Cobra,302469017,150201498,49.7%,152267519,50.3%,2009,tt1046173,135468,175000000,'Adventure',en,19.43,2009-08-04,118.0,Thunder Road
486,Wrath of the Titans,301970083,83670083,27.7%,218300000,72.3%,2012,tt1646987,86780,150000000,'Fantasy',en,14.899000000000001,2012-03-27,99.0,1492 Pictures
487,Fantastic 4: Rise of the Silver Surfer,301913131,131921738,43.7%,169991393,56.3%,2007,tt0486576,9744,130000000,'Adventure',en,23.598000000000003,2007-06-13,92.0,Amblin Entertainment
488,Hook,300854823,119654823,39.8%,181200000,60.2%,1991,tt0102057,No Collection,70000000,'Adventure',en,21.432,1991-04-10,142.0,Winkler Films
489,Rocky IV,300473716,127873716,42.6%,172600000,57.4%,1985,tt0089927,1575,31000000,'Drama',en,17.525,1985-11-21,91.0,Dovemead Films
490,Superman,300451603,134451603,44.8%,166000000,55.2%,1978,tt0078346,8537,55000000,'Science,en,20.875999999999998,1978-12-13,143.0,TriStar Pictures
491,Rambo: First Blood Part II,300400432,150415432,50.1%,149985000,49.9%,1985,tt0089880,5039,44000000,'Action',en,22.502,1985-05-21,96.0,Screen Gems
492,Resident Evil: Afterlife,300228084,60128566,20%,240099518,80%,2010,tt1220634,17255,60000000,'Action',en,0.741,2010-09-09,97.0,Universal Pictures
493,Van Helsing,300157638,120177084,40%,179980554,60%,2004,tt0338526,109608,160000000,'Horror',en,16.971,2004-05-05,132.0,Global Medien
494,Stuart Little,300135367,140035367,46.7%,160100000,53.3%,1999,tt0164912,99727,133000000,'Fantasy',en,13.386,1999-12-17,84.0,Eddie Murphy
495,Beverly Hills Cop II,299965036,153665036,51.2%,146300000,48.8%,1987,tt0092644,85861,28000000,'Action',en,12.835999999999999,1987-05-18,103.0,Legend3D
496,Alice Through the Looking Glass,299457024,77041381,25.7%,222415643,74.3%,2016,tt2567026,261307,170000000,'Adventure',en,20.749000000000002,2016-05-25,113.0,TriStar Pictures
497,My Best Friend's Wedding,299288605,127120029,42.5%,172168576,57.5%,1997,tt0119738,No Collection,38000000,'Comedy',en,6.901,1997-06-19,105.0,Wardour Street
498,Real Steel,299268508,85468508,28.6%,213800000,71.4%,2011,tt0433035,No Collection,110000000,'Action',en,19.269000000000002,2011-09-28,127.0,Blue Sky
499,Horton Hears a Who!,298572799,154529439,51.8%,144043360,48.2%,2008,tt0451079,No Collection,85000000,'Animation',en,15.171,2008-03-03,88.0,Village Roadshow
500,Ocean's 8,297718711,140218711,47.1%,157500000,52.9%,2018,tt5164214,No Collection,70000000,'Crime',en,24.648000000000003,2018-06-07,111.0,Summit Entertainment
501,Insurgent,297002527,130179072,43.8%,166823455,56.2%,2015,tt2908446,283579,110000000,'Action',en,30.195,2015-03-18,119.0,Management Company
502,Look Who's Talking,296999813,140088813,47.2%,156911000,52.8%,1989,tt0097778,9521,7500000,'Comedy',en,9.304,1989-10-12,93.0,Eric's Boy
503,Austin Powers in Goldmember,296938801,213307889,71.8%,83630912,28.2%,2002,tt0295178,1006,63000000,'Comedy',en,18.37,2002-07-26,94.0,Big Screen
504,Miss Peregrine's Home for Peculiar Children,296482446,87242834,29.4%,209239612,70.6%,2016,tt1935859,No Collection,110000000,'Drama',en,24.785999999999998,2016-09-28,127.0,Marvel Enterprises
505,X-Men,296339528,157299718,53.1%,139039810,46.9%,2000,tt0120903,748,75000000,'Adventure',en,1.47,2000-07-13,104.0,Blue Sky
506,Ferdinand,296069199,84410380,28.5%,211658819,71.5%,2017,tt3411444,No Collection,111000000,'Animation',en,15.792,2017-12-09,107.0,Delphi Films
507,Ghostbusters,295743767,242582079,82%,53161688,18%,1984,tt0087332,2980,30000000,'Comedy',en,19.05,1984-06-08,107.0,Appian Way
508,Shutter Island,294804195,128012934,43.4%,166791261,56.6%,2010,tt1130884,No Collection,80000000,'Drama',en,31.688000000000002,2010-02-14,138.0,Joseph M.
509,Doctor Dolittle,294456605,144156605,49%,150300000,51%,1998,tt0118998,3169,71000000,'Comedy',en,14.069,1998-06-22,85.0,Columbus 81
510,Bee Movie,293514336,126631277,43.1%,166883059,56.9%,2007,tt0389790,No Collection,150000000,'Family',en,17.402,2007-10-28,91.0,Wintergreen Productions
511,Salt,293503354,118311368,40.3%,175191986,59.7%,2010,tt0944835,No Collection,110000000,'Action',en,18.842,2010-07-21,100.0,Walt Disney
512,G-Force,292817841,119436770,40.8%,173381071,59.2%,2009,tt0436339,No Collection,150000000,'Fantasy',en,12.902000000000001,2009-07-21,88.0,Vertigo Entertainment
513,The Departed,291465034,132384315,45.4%,159080719,54.6%,2006,tt0407887,No Collection,90000000,'Drama',en,27.345,2006-10-05,151.0,ImageMovers
